location_code,location_name,admin1_code,admin1_name,event_type,events,fatalities,year,reference_period_start,reference_period_end,lon,lat
SDN,Sudan,SD-EB,East Darfur,Riots,2,0,2021,2021-01-01,2021-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Protests,1,0,2021,2021-01-01,2021-12-31,25.95,11.45
SDN,Sudan,SD-NK,North Kordofan,Battles,3,11,2021,2021-01-01,2021-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Violence against civilians,2,6,2021,2021-01-01,2021-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Explosions/Remote violence,2,1,2021,2021-01-01,2021-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Riots,1,0,2021,2021-01-01,2021-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Protests,1,0,2021,2021-01-01,2021-12-31,30.21,13.18
SDN,Sudan,SD-SK,South Kordofan,Battles,8,29,2021,2021-01-01,2021-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Violence against civilians,5,4,2021,2021-01-01,2021-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Explosions/Remote violence,5,14,2021,2021-01-01,2021-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Riots,2,0,2021,2021-01-01,2021-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Protests,2,0,2021,2021-01-01,2021-12-31,29.69,11.02
SDN,Sudan,SD-WK,West Kordofan,Battles,3,1,2021,2021-01-01,2021-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Violence against civilians,4,16,2021,2021-01-01,2021-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Explosions/Remote violence,2,2,2021,2021-01-01,2021-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Riots,1,0,2021,2021-01-01,2021-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Protests,1,0,2021,2021-01-01,2021-12-31,28.4,11.78
SDN,Sudan,SD-WH,White Nile,Battles,3,11,2021,2021-01-01,2021-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Violence against civilians,2,4,2021,2021-01-01,2021-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Explosions/Remote violence,2,2,2021,2021-01-01,2021-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Riots,1,0,2021,2021-01-01,2021-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Protests,2,0,2021,2021-01-01,2021-12-31,32.5,12.7
SDN,Sudan,SD-SI,Sennar,Battles,6,9,2021,2021-01-01,2021-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Violence against civilians,5,16,2021,2021-01-01,2021-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Explosions/Remote violence,3,2,2021,2021-01-01,2021-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Riots,2,0,2021,2021-01-01,2021-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Protests,2,0,2021,2021-01-01,2021-12-31,33.93,13.55
SDN,Sudan,SD-GD,Blue Nile,Battles,5,9,2021,2021-01-01,2021-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Violence against civilians,4,11,2021,2021-01-01,2021-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Explosions/Remote violence,3,10,2021,2021-01-01,2021-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Riots,2,0,2021,2021-01-01,2021-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Protests,2,0,2021,2021-01-01,2021-12-31,34.35,11.5
SDN,Sudan,SD-AJ,Al Jazirah,Battles,3,6,2021,2021-01-01,2021-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Violence against civilians,4,13,2021,2021-01-01,2021-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Explosions/Remote violence,2,3,2021,2021-01-01,2021-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Riots,2,0,2021,2021-01-01,2021-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Protests,1,0,2021,2021-01-01,2021-12-31,33.1,14.85
SDN,Sudan,SD-KH,Khartoum,Battles,11,42,2022,2022-01-01,2022-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Violence against civilians,6,22,2022,2022-01-01,2022-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Explosions/Remote violence,5,18,2022,2022-01-01,2022-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Riots,4,0,2022,2022-01-01,2022-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Protests,2,0,2022,2022-01-01,2022-12-31,32.53,15.59
SDN,Sudan,SD-GZ,Gezira,Battles,8,31,2022,2022-01-01,2022-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Violence against civilians,6,26,2022,2022-01-01,2022-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Explosions/Remote violence,4,14,2022,2022-01-01,2022-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Riots,2,0,2022,2022-01-01,2022-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Protests,1,0,2022,2022-01-01,2022-12-31,33.43,14.38
SDN,Sudan,SD-KA,Kassala,Battles,5,15,2022,2022-01-01,2022-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Violence against civilians,4,15,2022,2022-01-01,2022-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Explosions/Remote violence,3,2,2022,2022-01-01,2022-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Riots,1,0,2022,2022-01-01,2022-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Protests,2,0,2022,2022-01-01,2022-12-31,36.4,15.45
SDN,Sudan,SD-RS,Red Sea,Battles,4,3,2022,2022-01-01,2022-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Violence against civilians,6,24,2022,2022-01-01,2022-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Explosions/Remote violence,3,6,2022,2022-01-01,2022-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Riots,1,0,2022,2022-01-01,2022-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Protests,1,0,2022,2022-01-01,2022-12-31,37.22,19.62
SDN,Sudan,SD-NO,Northern,Battles,4,4,2022,2022-01-01,2022-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Violence against civilians,3,9,2022,2022-01-01,2022-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Explosions/Remote violence,2,8,2022,2022-01-01,2022-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Riots,1,0,2022,2022-01-01,2022-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Protests,1,0,2022,2022-01-01,2022-12-31,30.35,19.17
SDN,Sudan,SD-RV,River Nile,Battles,3,6,2022,2022-01-01,2022-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Violence against civilians,4,2,2022,2022-01-01,2022-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Explosions/Remote violence,2,4,2022,2022-01-01,2022-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Riots,2,0,2022,2022-01-01,2022-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Protests,1,0,2022,2022-01-01,2022-12-31,33.43,17.61
SDN,Sudan,SD-NB,North Darfur,Battles,16,30,2022,2022-01-01,2022-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Violence against civilians,10,12,2022,2022-01-01,2022-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Explosions/Remote violence,5,19,2022,2022-01-01,2022-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Riots,4,0,2022,2022-01-01,2022-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Protests,4,0,2022,2022-01-01,2022-12-31,24.88,14.65
SDN,Sudan,SD-SB,South Darfur,Battles,9,13,2022,2022-01-01,2022-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Violence against civilians,4,11,2022,2022-01-01,2022-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Explosions/Remote violence,3,10,2022,2022-01-01,2022-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Riots,2,0,2022,2022-01-01,2022-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Protests,3,0,2022,2022-01-01,2022-12-31,24.88,11.5
SDN,Sudan,SD-WB,West Darfur,Battles,13,6,2022,2022-01-01,2022-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Violence against civilians,11,11,2022,2022-01-01,2022-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Explosions/Remote violence,4,6,2022,2022-01-01,2022-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Riots,3,0,2022,2022-01-01,2022-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Protests,2,0,2022,2022-01-01,2022-12-31,22.45,12.9
SDN,Sudan,SD-CB,Central Darfur,Battles,10,17,2022,2022-01-01,2022-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Violence against civilians,8,5,2022,2022-01-01,2022-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Explosions/Remote violence,8,20,2022,2022-01-01,2022-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Riots,6,0,2022,2022-01-01,2022-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Protests,5,0,2022,2022-01-01,2022-12-31,23.65,12.9
SDN,Sudan,SD-EB,East Darfur,Battles,3,12,2022,2022-01-01,2022-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Violence against civilians,2,7,2022,2022-01-01,2022-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Explosions/Remote violence,2,5,2022,2022-01-01,2022-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Riots,1,0,2022,2022-01-01,2022-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Protests,1,0,2022,2022-01-01,2022-12-31,25.95,11.45
SDN,Sudan,SD-NK,North Kordofan,Battles,5,12,2022,2022-01-01,2022-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Violence against civilians,5,3,2022,2022-01-01,2022-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Explosions/Remote violence,2,5,2022,2022-01-01,2022-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Riots,1,0,2022,2022-01-01,2022-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Protests,1,0,2022,2022-01-01,2022-12-31,30.21,13.18
SDN,Sudan,SD-SK,South Kordofan,Battles,11,28,2022,2022-01-01,2022-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Violence against civilians,6,17,2022,2022-01-01,2022-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Explosions/Remote violence,3,9,2022,2022-01-01,2022-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Riots,4,0,2022,2022-01-01,2022-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Protests,3,0,2022,2022-01-01,2022-12-31,29.69,11.02
SDN,Sudan,SD-WK,West Kordofan,Battles,4,5,2022,2022-01-01,2022-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Violence against civilians,3,6,2022,2022-01-01,2022-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Explosions/Remote violence,2,1,2022,2022-01-01,2022-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Riots,1,0,2022,2022-01-01,2022-12-31,28.4,11.78
SDN,Sudan,SD-WK,West Kordofan,Protests,1,0,2022,2022-01-01,2022-12-31,28.4,11.78
SDN,Sudan,SD-WH,White Nile,Battles,4,15,2022,2022-01-01,2022-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Violence against civilians,3,2,2022,2022-01-01,2022-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Explosions/Remote violence,4,14,2022,2022-01-01,2022-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Riots,2,0,2022,2022-01-01,2022-12-31,32.5,12.7
SDN,Sudan,SD-WH,White Nile,Protests,2,0,2022,2022-01-01,2022-12-31,32.5,12.7
SDN,Sudan,SD-SI,Sennar,Battles,3,9,2022,2022-01-01,2022-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Violence against civilians,4,15,2022,2022-01-01,2022-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Explosions/Remote violence,2,8,2022,2022-01-01,2022-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Riots,1,0,2022,2022-01-01,2022-12-31,33.93,13.55
SDN,Sudan,SD-SI,Sennar,Protests,1,0,2022,2022-01-01,2022-12-31,33.93,13.55
SDN,Sudan,SD-GD,Blue Nile,Battles,4,3,2022,2022-01-01,2022-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Violence against civilians,5,9,2022,2022-01-01,2022-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Explosions/Remote violence,3,8,2022,2022-01-01,2022-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Riots,2,0,2022,2022-01-01,2022-12-31,34.35,11.5
SDN,Sudan,SD-GD,Blue Nile,Protests,2,0,2022,2022-01-01,2022-12-31,34.35,11.5
SDN,Sudan,SD-AJ,Al Jazirah,Battles,5,3,2022,2022-01-01,2022-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Violence against civilians,6,22,2022,2022-01-01,2022-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Explosions/Remote violence,2,2,2022,2022-01-01,2022-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Riots,2,0,2022,2022-01-01,2022-12-31,33.1,14.85
SDN,Sudan,SD-AJ,Al Jazirah,Protests,1,0,2022,2022-01-01,2022-12-31,33.1,14.85
SDN,Sudan,SD-KH,Khartoum,Battles,25,26,2023,2023-01-01,2023-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Violence against civilians,27,16,2023,2023-01-01,2023-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Explosions/Remote violence,19,25,2023,2023-01-01,2023-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Riots,10,1,2023,2023-01-01,2023-12-31,32.53,15.59
SDN,Sudan,SD-KH,Khartoum,Protests,8,1,2023,2023-01-01,2023-12-31,32.53,15.59
SDN,Sudan,SD-GZ,Gezira,Battles,29,24,2023,2023-01-01,2023-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Violence against civilians,15,16,2023,2023-01-01,2023-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Explosions/Remote violence,17,54,2023,2023-01-01,2023-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Riots,8,1,2023,2023-01-01,2023-12-31,33.43,14.38
SDN,Sudan,SD-GZ,Gezira,Protests,9,1,2023,2023-01-01,2023-12-31,33.43,14.38
SDN,Sudan,SD-KA,Kassala,Battles,15,14,2023,2023-01-01,2023-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Violence against civilians,11,17,2023,2023-01-01,2023-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Explosions/Remote violence,8,19,2023,2023-01-01,2023-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Riots,5,0,2023,2023-01-01,2023-12-31,36.4,15.45
SDN,Sudan,SD-KA,Kassala,Protests,4,0,2023,2023-01-01,2023-12-31,36.4,15.45
SDN,Sudan,SD-RS,Red Sea,Battles,9,12,2023,2023-01-01,2023-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Violence against civilians,6,9,2023,2023-01-01,2023-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Explosions/Remote violence,5,2,2023,2023-01-01,2023-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Riots,5,0,2023,2023-01-01,2023-12-31,37.22,19.62
SDN,Sudan,SD-RS,Red Sea,Protests,3,0,2023,2023-01-01,2023-12-31,37.22,19.62
SDN,Sudan,SD-NO,Northern,Battles,19,70,2023,2023-01-01,2023-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Violence against civilians,8,31,2023,2023-01-01,2023-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Explosions/Remote violence,5,2,2023,2023-01-01,2023-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Riots,7,1,2023,2023-01-01,2023-12-31,30.35,19.17
SDN,Sudan,SD-NO,Northern,Protests,5,0,2023,2023-01-01,2023-12-31,30.35,19.17
SDN,Sudan,SD-RV,River Nile,Battles,16,15,2023,2023-01-01,2023-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Violence against civilians,9,16,2023,2023-01-01,2023-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Explosions/Remote violence,12,35,2023,2023-01-01,2023-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Riots,8,2,2023,2023-01-01,2023-12-31,33.43,17.61
SDN,Sudan,SD-RV,River Nile,Protests,3,0,2023,2023-01-01,2023-12-31,33.43,17.61
SDN,Sudan,SD-NB,North Darfur,Battles,35,90,2023,2023-01-01,2023-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Violence against civilians,26,45,2023,2023-01-01,2023-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Explosions/Remote violence,16,29,2023,2023-01-01,2023-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Riots,9,1,2023,2023-01-01,2023-12-31,24.88,14.65
SDN,Sudan,SD-NB,North Darfur,Protests,7,1,2023,2023-01-01,2023-12-31,24.88,14.65
SDN,Sudan,SD-SB,South Darfur,Battles,37,126,2023,2023-01-01,2023-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Violence against civilians,46,172,2023,2023-01-01,2023-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Explosions/Remote violence,19,20,2023,2023-01-01,2023-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Riots,12,2,2023,2023-01-01,2023-12-31,24.88,11.5
SDN,Sudan,SD-SB,South Darfur,Protests,16,3,2023,2023-01-01,2023-12-31,24.88,11.5
SDN,Sudan,SD-WB,West Darfur,Battles,41,101,2023,2023-01-01,2023-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Violence against civilians,35,123,2023,2023-01-01,2023-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Explosions/Remote violence,18,75,2023,2023-01-01,2023-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Riots,13,2,2023,2023-01-01,2023-12-31,22.45,12.9
SDN,Sudan,SD-WB,West Darfur,Protests,11,2,2023,2023-01-01,2023-12-31,22.45,12.9
SDN,Sudan,SD-CB,Central Darfur,Battles,27,20,2023,2023-01-01,2023-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Violence against civilians,32,54,2023,2023-01-01,2023-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Explosions/Remote violence,18,13,2023,2023-01-01,2023-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Riots,14,1,2023,2023-01-01,2023-12-31,23.65,12.9
SDN,Sudan,SD-CB,Central Darfur,Protests,11,0,2023,2023-01-01,2023-12-31,23.65,12.9
SDN,Sudan,SD-EB,East Darfur,Battles,12,47,2023,2023-01-01,2023-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Violence against civilians,20,59,2023,2023-01-01,2023-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Explosions/Remote violence,10,23,2023,2023-01-01,2023-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Riots,7,1,2023,2023-01-01,2023-12-31,25.95,11.45
SDN,Sudan,SD-EB,East Darfur,Protests,7,0,2023,2023-01-01,2023-12-31,25.95,11.45
SDN,Sudan,SD-NK,North Kordofan,Battles,20,35,2023,2023-01-01,2023-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Violence against civilians,15,16,2023,2023-01-01,2023-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Explosions/Remote violence,6,5,2023,2023-01-01,2023-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Riots,9,0,2023,2023-01-01,2023-12-31,30.21,13.18
SDN,Sudan,SD-NK,North Kordofan,Protests,6,0,2023,2023-01-01,2023-12-31,30.21,13.18
SDN,Sudan,SD-SK,South Kordofan,Battles,18,40,2023,2023-01-01,2023-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Violence against civilians,19,49,2023,2023-01-01,2023-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Explosions/Remote violence,9,17,2023,2023-01-01,2023-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Riots,7,0,2023,2023-01-01,2023-12-31,29.69,11.02
SDN,Sudan,SD-SK,South Kordofan,Protests,6,1,2023,2023-01-01,2023-12-31,29.69,11.02
SDN,Sudan,SD-WK,West Kordofan,Battles,19,14,2023,2023-01-01,2023-12-31,28.4,11.78
